metabolite_1,value_1,metabolite_2,value_2
xan,,,
xtsn,,,
urate,,,
alltn,,,
ala__L,,asp__L,
ala__L,,gln__L,
ala__L,,glu__L,
ala__L,,gly,
ala__L,,his__L,
ala__L,,leu__L,
ala__L,,thr__L,
gly,,asn__L,
gly,,gln__L,
gly,,glu__L,
gly,,met__L,
met__L,,ala__L,
pi,,,
ppi,,,
3amp,,,
amp,,,
23camp,,,
2pg,,,
3pg,,,
3gmp,,,
gmp,,,
23cgmp,,,
pep,,,
2pglyc,,,
g1p,,,
g6p,,,
gam6p,,,
6pgc,,,
3cmp,,,
cmp,,,
23ccmp,,,
man1p,,,
man6p,,,
pser__L,,,
thrp,,,
3ump,,,
ump,,,
23cump,,,
tyrp,,,
dtmp,,,
minohp,,,
so4,,,
tsul,,,
cys__L,,,
cys__D,,,
cgly,,,
3sala,,,
cyst__L,,,
gthrd,,,
met__L,,,
met__D,,,
metsox_S__L,,,
taur,,,
butso3,,,
isetac,,,
mso3,,,
