column 1	Pathways of a reaction	Super-Pathways	Super-Pathways	Super-Pathways
ADENYLYLSULFKIN-RXN	PWY-5340	SO4ASSIM-PWY	SULFATE-CYS-PWY	
325-BISPHOSPHATE-NUCLEOTIDASE-RXN				
GDPKIN-RXN	PWY-7221 // PPGPPMET-PWY	PWY-6125	DENOVOPURINE2-PWY	PRPP-PWY
CYTDEAM-RXN	PWY-7194 // PWY-7195 // PWY0-163			
ADENYL-KIN-RXN	PWY-7219	PWY-6126	DENOVOPURINE2-PWY	PRPP-PWY
PYRUVFORMLY-RXN	FERMENTATION-PWY			
PHOSGLYPHOS-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
RXN0-5222	PWY0-1471 // PWY0-41 // CYANCAT-PWY			
RXN-10819	PWY0-321	PWY-6071		
ALANINE-AMINOTRANSFERASE-RXN	ALANINE-SYN2-PWY	PWY0-1061		
CATAL-RXN	DETOX1-PWY			
DLACTDEHYDROGNAD-RXN	FERMENTATION-PWY			
SUPEROX-DISMUT-RXN	DETOX1-PWY			
ASPARAGHYD-RXN	ASPASN-PWY // ASPARAGINE-DEG1-PWY			
GLUTAMIN-RXN	AMMASSIM-PWY // GLUTSYN-PWY // GLUTAMINDEG-PWY			
DTDPKIN-RXN	PWY-7187 // PWY-7197 // PWY-7184 // PWY0-166	PWY0-166 // PWY-7211		
AMP-DEPHOSPHORYLATION-RXN	SALVADEHYPOX-PWY			
LTARTDEHYDRA-RXN				
RIBULPEPIM-RXN	PWY-6961 // PWY0-301 // LYXMET-PWY // ARABCAT-PWY			
RXN-8974	PWY0-1471			
RXN-14025				
RXN-7609	PWY-6608			
RXN0-2201				
AKBLIG-RXN	THREONINE-DEG2-PWY	THREOCAT-PWY		
ADENINE-DEAMINASE-RXN				
THREONINE-ALDOLASE-RXN	PWY-5436	THREOCAT-PWY		
DEHYDDEOXPHOSGALACT-ALDOL-RXN	GALACTCAT-PWY			
RXN-9952	OXIDATIVEPENT-PWY	PENTOSE-P-PWY		
XYLULOKIN-RXN	XYLCAT-PWY			
MANNPISOM-RXN	MANNCAT-PWY // PWY-5659	COLANSYN-PWY		
ACETOACETYL-COA-TRANSFER-RXN	ACETOACETATE-DEG-PWY			
RXN0-6452	PWY0-1471			
PMPOXI-RXN	PLPSAL-PWY	PWY0-845		
3-ISOPROPYLMALDEHYDROG-RXN	LEUSYN-PWY	BRANCHED-CHAIN-AA-SYN-PWY		
PYRROLINECARBDEHYDROG-RXN				
URPHOS-RXN	PWY0-163 // PWY0-1295			
GLUCOSE-1-PHOSPHAT-RXN	GLUCOSE1PMETAB-PWY			
RXN-14026				
SUCCCOASYN-RXN	TCA	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
ACETALD-DEHYDROG-RXN	PWY0-1477 // PWY-7180 // PWY-5162 // FERMENTATION-PWY // PWY-5436 // ETOH-ACETYLCOA-ANA-PWY	PWY0-1298 // PWY0-1297 // PWY0-1277 // THREOCAT-PWY		
GUANINE-DEAMINASE-RXN	PWY-6608			
CDPKIN-RXN	PWY-7205 // PWY0-163	PWY-7196		
INORGPYROPHOSPHAT-RXN	PWY-7805			
RIBULP3EPIM-RXN	NONOXIPENT-PWY	PENTOSE-P-PWY		
RXN-12570	PWY0-1337			
ARGDECARBOX-RXN	PWY0-1299 // PWY-40 // PWY0-823	POLYAMSYN-PWY // ARGDEG-PWY	ARG+POLYAMINE-SYN // ORNARGDEG-PWY	
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	DAPLYSINESYN-PWY // HOMOSERSYN-PWY	P4-PWY // THRESYN-PWY // METSYN-PWY	PWY0-781 // P4-PWY // MET-SAM-PWY	PWY0-781
THYKI-RXN	PWY0-181			
LXULRU5P-RXN	PWY-6961 // PWY0-301 // LYXMET-PWY			
VALINE-PYRUVATE-AMINOTRANSFER-RXN	ALANINE-VALINESYN-PWY	PWY0-1061		
TRE6PHYDRO-RXN	TREDEGLOW-PWY			
RXN0-5114	SERSYN-PWY	SULFATE-CYS-PWY // SER-GLYSYN-PWY		
ETHAMLY-RXN	PWY0-1477			
RXN0-743	PWY-6123	DENOVOPURINE2-PWY	PRPP-PWY	
2TRANSKETO-RXN	NONOXIPENT-PWY	PENTOSE-P-PWY		
GLUCONOKIN-RXN	GLUCONSUPER-PWY // IDNCAT-PWY	KETOGLUCONMET-PWY		
RXN-12490	PWY0-1337			
ARGSUCCINLYA-RXN	ARGSYN-PWY	ARG+POLYAMINE-SYN		
MANNONDEHYDRAT-RXN	PWY-7242	GLUCUROCAT-PWY	GALACT-GLUCUROCAT-PWY	
