column 1	Pathways of a reaction	Super-Pathways	Super-Pathways	Super-Pathways
ADENINE-DEAMINASE-RXN				
ACETOACETYL-COA-TRANSFER-RXN	ACETOACETATE-DEG-PWY			
RXN-14124				
ADENODEAMIN-RXN	PWY0-1296 // PWY-6611 // PWY-6609 // SALVADEHYPOX-PWY			
AMINOBUTDEHYDROG-RXN	PUTDEG-PWY	ARGDEG-PWY // ORNDEG-PWY	ORNARGDEG-PWY	
LCYSDESULF-RXN				
DEOXYGLUCONOKIN-RXN	GALACTUROCAT-PWY // PWY-7242	GALACT-GLUCUROCAT-PWY // GLUCUROCAT-PWY	GALACT-GLUCUROCAT-PWY	
ACETATEKIN-RXN	PWY0-1477 // FERMENTATION-PWY // PWY0-1312	ACETATEUTIL-PWY		
FUMHYDR-RXN	FERMENTATION-PWY // TCA	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
CYTIDEAM2-RXN	PWY-7193 // PWY-6556 // PWY0-163 // PWY0-1295	PWY-7196		
GABATRANSAM-RXN	PWY-6537 // PWY-6535	4AMINOBUTMETAB-PWY	ARGDEG-PWY	ORNARGDEG-PWY
CITSYN-RXN	FERMENTATION-PWY // TCA // GLYOXYLATE-BYPASS	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
RXN-6622				
GLU6PDEHYDROG-RXN	OXIDATIVEPENT-PWY // GLYCOLYSIS-E-D	PENTOSE-P-PWY		
RXN-14126				
ALANINE-AMINOTRANSFERASE-RXN	ALANINE-SYN2-PWY	PWY0-1061		
MALATE-DEH-RXN	GLUCONEO-PWY // FERMENTATION-PWY // TCA // GLYOXYLATE-BYPASS	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
RXN-14090				
RXN-14115				
TRIOSEPISOMERIZATION-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
GLUTDEHYD-RXN	AMMASSIM-PWY // GLUTSYN-PWY // GLUTSYNIII-PWY			
RXN-14064				
PHOSACETYLTRANS-RXN	PWY0-1477 // FERMENTATION-PWY // PWY0-1312	ACETATEUTIL-PWY		
RXN-9952	OXIDATIVEPENT-PWY	PENTOSE-P-PWY		
2OXOGLUTARATEDEH-RXN	TCA	TCA-GLYOX-BYPASS	GLYCOLYSIS-TCA-GLYOX-BYPASS	
CITLY-RXN				
MALIC-NADP-RXN	GLUCONEO-PWY			
KDPGALDOL-RXN	ENTNER-DOUDOROFF-PWY // GALACTUROCAT-PWY // PWY-7242	GLYCOLYSIS-E-D // GALACT-GLUCUROCAT-PWY // GLUCUROCAT-PWY	GALACT-GLUCUROCAT-PWY	
PHOSGLYPHOS-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
PYRUVFORMLY-RXN	FERMENTATION-PWY			
2PGADEHYDRAT-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
2.7.1.121-RXN	GLYCEROLMETAB-PWY			
GAPOXNPHOSPHN-RXN	GLYCOLYSIS // PWY-5484 // GLUCONEO-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS // GLYCOLYSIS-E-D // HEXITOLDEGSUPER-PWY		
