id,kegg.reaction,subsystem
23PDE2pp,R03538,Nucleotide Salvage Pathway
23PDE4pp,R03929,Nucleotide Salvage Pathway
23PDE7pp,R03537,Nucleotide Salvage Pathway
23PDE9pp,R05135,Nucleotide Salvage Pathway
3AMACHYD,R09983,Nucleotide Salvage Pathway
3NTD2pp,R01877,Nucleotide Salvage Pathway
3NTD4pp,R02370,Nucleotide Salvage Pathway
3NTD7pp,R01562,Nucleotide Salvage Pathway
3NTD9pp,R02148,Nucleotide Salvage Pathway
ABTA,R01648,Arginine and Proline Metabolism
ABUTD,R02549,Arginine and Proline Metabolism
ACACCT,R01359,Alternate Carbon Metabolism
ACACT1r,R00238,Membrane Lipid Metabolism
ACALD,R00228,Pyruvate Metabolism
ACKr,R00315,Pyruvate Metabolism
ACNML,R01811,Alternate Carbon Metabolism
ACONTa,R01325,Citric Acid Cycle
ACONTb,R01900,Citric Acid Cycle
AGDC,R02059,Alternate Carbon Metabolism
AGMT,R01157,Arginine and Proline Metabolism
AKGDH,R08549,Citric Acid Cycle
ALATA_D2,R01147,Cofactor and Prosthetic Group Biosynthesis
ALATA_L,R00258,Alanine and Aspartate Metabolism
ALLK,R03576,Alternate Carbon Metabolism
ALLPI,R09030,Alternate Carbon Metabolism
ALTRH,R01540,Alternate Carbon Metabolism
AMPTASECG,R00899,Cysteine Metabolism
ARGDC,R00566,Arginine and Proline Metabolism
ASNNpp,R00485,Alanine and Aspartate Metabolism
ASPT,R00490,Alanine and Aspartate Metabolism
ASPTA,R00355,Alanine and Aspartate Metabolism
CYTD,R01878,Nucleotide Salvage Pathway
DADA,R02556,Nucleotide Salvage Pathway
DDGALK,R03387,Alternate Carbon Metabolism
DDGLK,R01541,Alternate Carbon Metabolism
DDPGALA,R01064,Alternate Carbon Metabolism
DHAPT,R01012,Alternate Carbon Metabolism
DRPA,R01066,Alternate Carbon Metabolism
EDA,R05605,Pentose Phosphate Pathway
ENO,R00658,Glycolysis/Gluconeogenesis
FBA,R01068,Glycolysis/Gluconeogenesis
FBA3,R01829,Pentose Phosphate Pathway
FUM,R01082,Citric Acid Cycle
G6PDA,R00765,Alternate Carbon Metabolism
GALCTND,R03033,Alternate Carbon Metabolism
GAPD,R01061,Glycolysis/Gluconeogenesis
GLCRAL,R02754,Alternate Carbon Metabolism
GLUDy,R00248,Glutamate Metabolism
GLYCK2,R08572,Glycine and Serine Metabolism
GUI2,R01983,Alternate Carbon Metabolism
HXAND,R01768,Nucleotide Salvage Pathway
MDH,R00342,Citric Acid Cycle
ME2,R00216,Anaplerotic Reactions
MOX,R00360,Citric Acid Cycle
NADHPO,R00090,Unassigned
NTD7pp,R00183,Nucleotide Salvage Pathway
OAADC,R00217,Pyruvate Metabolism
PDH,R00209,Glycolysis/Gluconeogenesis
PFK_3,R01843,Pentose Phosphate Pathway
PFL,R00212,Pyruvate Metabolism
PGK,R01512,Glycolysis/Gluconeogenesis
PGMT,R08639,Alternate Carbon Metabolism
PGM,R01518,Glycolysis/Gluconeogenesis
PTAr,R00230,Pyruvate Metabolism
PUNP1,R01561,Nucleotide Salvage Pathway
PUNP7,R02297,Nucleotide Salvage Pathway
PYAM5PO,R00277,Cofactor and Prosthetic Group Biosynthesis
PYK,R00200,Glycolysis/Gluconeogenesis
SBTPD,R05607,Alternate Carbon Metabolism
SUCOAS,R00405,Citric Acid Cycle
TAGURr,R02555,Alternate Carbon Metabolism
TRSARr,R01745,Alternate Carbon Metabolism
URDGLYCD,R02935,Alternate Carbon Metabolism
XAND,R02103,Nucleotide Salvage Pathway
