,pathway,score,reaction
0,PWY-5340,84.7,R00509
1,PPGPPMET-PWY,76.3,R00330
2,PWY-7195,75.1,R00974
3,PWY-7194,75.1,R00974
4,ALANINE-SYN2-PWY,55.8,R00258
5,DETOX1-PWY,54.9,R00009
6,DETOX1-PWY,54.9,R00275
7,ASPARAGINE-DEG1-PWY,50.9,R00485
8,GLUTAMINDEG-PWY,50.7,R00256
9,SO4ASSIM-PWY,47.53333333333334,R00509
10,SO4ASSIM-PWY,47.53333333333334,R02021
11,SO4ASSIM-PWY,47.53333333333334,R00858
12,ARABCAT-PWY,46.7,R05850
13,PWY0-1471,42.824999999999996,R07316
14,PWY0-1471,42.824999999999996,R09947
15,PWY0-1471,42.824999999999996,R09289
16,PWY0-1471,42.824999999999996,R09983
17,PWY-7221,41.73333333333333,R00330
18,PWY-7221,41.73333333333333,R00332
19,PWY-7221,41.73333333333333,R01130
20,LYXMET-PWY,39.85,R03244
21,PWY-6961,39.85,R05850
22,LYXMET-PWY,39.85,R05850
23,PWY0-301,39.85,R03244
24,PWY0-301,39.85,R05850
25,PWY-6961,39.85,R03244
26,CYANCAT-PWY,39.35,R10092
27,CYANCAT-PWY,39.35,R07316
28,PWY0-1061,39.06666666666667,R00258
29,PWY0-1061,39.06666666666667,R01214
30,PWY0-1061,39.06666666666667,R01215
31,PWY-7219,39.03333333333334,R01135
32,PWY-7219,39.03333333333334,R00127
33,PWY-7219,39.03333333333334,R01083
34,PWY-5436,38.85,R00751
35,PWY-5436,38.85,R00228
36,GLUTSYN-PWY,38.75,R00248
37,GLUTSYN-PWY,38.75,R00256
38,AMMASSIM-PWY,38.75,R00248
39,AMMASSIM-PWY,38.75,R00256
40,MANNCAT-PWY,38.6,R01819
41,PWY-5659,38.6,R01819
42,PWY0-321,38.3,R06941
43,PWY0-321,38.3,R02539
44,PLPSAL-PWY,37.2,R00277
45,PWY0-845,37.2,R00277
46,PWY0-1277,36.1,R00228
47,PWY-5162,36.1,R00228
48,ETOH-ACETYLCOA-ANA-PWY,36.1,R00228
49,PWY-6126,33.96,R01137
50,PWY-6126,33.96,R01083
51,PWY-6126,33.96,R01135
52,PWY-6126,33.96,R00127
53,PWY-6126,33.96,R02017
54,PWY0-1299,33.5,R00566
55,THREONINE-DEG2-PWY,33.45,R00371
56,THREONINE-DEG2-PWY,33.45,R01465
57,PWY-7187,33.06666666666666,R02093
58,PWY-7187,33.06666666666666,R02100
59,PWY-7187,33.06666666666666,R02094
60,ACETOACETATE-DEG-PWY,32.05,R01359
