,score
PWY-5340,84.7
PPGPPMET-PWY,76.3
PWY-7194,75.1
PWY-7195,75.1
ALANINE-SYN2-PWY,55.8
DETOX1-PWY,54.9
ASPARAGINE-DEG1-PWY,50.9
GLUTAMINDEG-PWY,50.7
SO4ASSIM-PWY,47.53
ARABCAT-PWY,46.7
PWY0-1471,42.82
PWY-7221,41.73
LYXMET-PWY,39.85
PWY0-301,39.85
PWY-6961,39.85
CYANCAT-PWY,39.35
PWY0-1061,39.07
PWY-7219,39.03
PWY-5436,38.85
AMMASSIM-PWY,38.75
GLUTSYN-PWY,38.75
PWY-5659,38.6
MANNCAT-PWY,38.6
PWY0-321,38.3
PLPSAL-PWY,37.2
PWY0-845,37.2
ETOH-ACETYLCOA-ANA-PWY,36.1
PWY0-1277,36.1
PWY-5162,36.1
PWY-6126,33.96
PWY0-1299,33.5
THREONINE-DEG2-PWY,33.45
PWY-7187,33.07
ACETOACETATE-DEG-PWY,32.05
GLUCONSUPER-PWY,31.8
KETOGLUCONMET-PWY,31.8
IDNCAT-PWY,31.8
COLANSYN-PWY,31.35
ASPASN-PWY,31.3
THREOCAT-PWY,30.9
ALANINE-VALINESYN-PWY,30.7
FERMENTATION-PWY,30.18
PWY-7184,29.98
PWY0-166,29.98
PWY0-41,29.87
PWY-7206,29.8
HOMOSERSYN-PWY,29.6
PWY-46,29.5
PWY-6125,29.26
PWY-7197,29.2
OXIDATIVEPENT-PWY,29.0
PWY-6611,28.8
MANNIDEG-PWY,28.7
PWY-6071,28.5
DENOVOPURINE2-PWY,28.25
PENTOSE-P-PWY,28.12
PWY-7205,27.9
PWY0-163,27.53
NONOXIPENT-PWY,27.23
PWY0-1465,27.2
PWY0-1296,27.15
SULFATE-CYS-PWY,27.01
PHESYN,26.9
PWY-7805,26.87
GLUTSYNIII-PWY,26.8
GALACTCAT-PWY,26.7
ASPARAGINESYN-PWY,26.4
PWY-7220,26.35
PWY-6608,26.15
ARGSYN-PWY,25.95
XYLCAT-PWY,25.9
ORNDEG-PWY,25.75
PWY-6123,25.4
PWY-5484,25.33
GLYCOLYSIS,25.33
PWY-6387,25.3
ARG+POLYAMINE-SYN,25.1
THRDLCTCAT-PWY,24.6
PWY-6620,24.6
SALVPURINE2-PWY,24.6
GLUTORN-PWY,24.33
PWY-7176,24.3
PWY-7208,24.3
GLYCEROLMETAB-PWY,24.3
METSYN-PWY,24.28
MET-SAM-PWY,24.28
PWY0-1325,24.15
PWY-7344,24.1
GLUCONEO-PWY,24.03
POLYAMSYN-PWY,23.97
ILEUSYN-PWY,23.9
THRESYN-PWY,23.7
GLUCARDEG-PWY,23.57
GLUCARGALACTSUPER-PWY,23.48
PWY-6164,23.35
GLYCOLYSIS-E-D,23.33
PWY0-1300,22.9
KDOSYN-PWY,22.9
TYRSYN,22.85
PRPP-PWY,22.8
GLYCOLATEMET-PWY,22.7
PWY0-1261,22.7
TCA,22.68
GALACTARDEG-PWY,22.63
PWY-7211,22.6
HEXITOLDEGSUPER-PWY,22.43
VALSYN-PWY,22.38
GLYCOLYSIS-TCA-GLYOX-BYPASS,22.34
TCA-GLYOX-BYPASS,22.33
GLCMANNANAUT-PWY,22.2
PWY0-1324,22.2
PWY0-1477,22.2
GLYCOL-GLYOXDEG-PWY,22.17
BRANCHED-CHAIN-AA-SYN-PWY,22.15
PUTDEG-PWY,22.0
PEPTIDOGLYCANSYN-PWY,21.98
ASPARAGINE-BIOSYNTHESIS,21.9
GLUCOSE1PMETAB-PWY,21.8
AST-PWY,21.75
PWY-6605,21.5
ALADEG-PWY,21.4
PWY-8072,21.4
PWY-40,21.2
PWY0-823,21.2
LEUSYN-PWY,21.13
GALACTMETAB-PWY,20.83
OANTIGEN-PWY,20.8
UDPNAGSYN-PWY,20.8
GALACT-GLUCUROCAT-PWY,20.77
GLYOXDEG-PWY,20.6
NAGLIPASYN-PWY,20.5
GLYOXYLATE-BYPASS,20.43
PWY0-381,20.4
PWY-4261,20.4
GLUCUROCAT-PWY,20.38
PWY-7242,20.38
PWY0-1337,20.08
LPSSYN-PWY,19.72
KDO-NAGLIPASYN-PWY,19.72
TREDEGLOW-PWY,19.65
PWY-7180,19.47
GALACTUROCAT-PWY,19.38
PWY0-1295,19.25
HOMOSER-METSYN-PWY,18.95
PWY0-44,18.9
TRPSYN-PWY,18.7
FUCCAT-PWY,18.7
PWY-7196,18.6
COMPLETE-ARO-PWY,18.41
ALL-CHORISMATE-PWY,18.41
ORNARGDEG-PWY,17.85
HOMOSER-THRESYN-PWY,17.8
PWY0-181,17.42
HISTSYN-PWY,17.32
PWY0-781,17.17
P4-PWY,17.17
PWY-6579,16.85
SALVADEHYPOX-PWY,16.67
PWY-8294,16.6
PWY-8291,16.6
GLUTDEG-PWY,16.6
PWY-7870,16.5
DAPLYSINESYN-PWY,16.2
PWY0-1297,15.88
PWY0-1298,15.72
PWY-6122,15.7
PWY-6121,15.7
PWY-6277,15.7
FUC-RHAMCAT-PWY,15.7
ARGDEG-PWY,15.52
PWY0-1317,15.5
PWY-5459,15.5
METHGLYUT-PWY,15.5
PWY0-162,15.22
SERSYN-PWY,15.0
SER-GLYSYN-PWY,15.0
ARO-PWY,14.64
CYSTSYN-PWY,14.25
PROSYN-PWY,13.75
PWY-5686,12.95
PWY-7179,12.3
PWY-1269,11.9
ENTNER-DOUDOROFF-PWY,11.1
PWY-5971,10.6
GALACTITOLCAT-PWY,10.6
PWY-7222,10.55
PWY-7193,10.5
PWY-6535,10.5
PWY0-1312,10.25
ACETATEUTIL-PWY,10.25
PWY-7181,10.1
RHAMCAT-PWY,9.9
PWY-4381,9.7
FASYN-INITIAL-PWY,9.7
PWY0-881,9.7
PWY-6618,9.1
2PHENDEG-PWY,8.9
PWY-6163,8.83
GLYCOCAT-PWY,6.9
PWY0-1182,6.9
PWY-6537,6.6
4AMINOBUTMETAB-PWY,6.6
PWY-6556,1.5
