,score
PRPP-PWY,638.4
DENOVOPURINE2-PWY,423.7
GLYCOLYSIS-TCA-GLYOX-BYPASS,290.4
BRANCHED-CHAIN-AA-SYN-PWY,288.0
FERMENTATION-PWY,271.6
COMPLETE-ARO-PWY,239.3
ALL-CHORISMATE-PWY,239.3
PWY-7211,226.0
THREOCAT-PWY,216.3
SULFATE-CYS-PWY,216.1
GLYCOLYSIS-E-D,210.0
HEXITOLDEGSUPER-PWY,201.9
PWY0-163,192.7
ARG+POLYAMINE-SYN,175.7
PWY0-1471,171.3
PWY-6126,169.8
PENTOSE-P-PWY,168.7
PWY0-1337,160.6
LPSSYN-PWY,157.8
KDO-NAGLIPASYN-PWY,157.8
PWY0-781,154.5
P4-PWY,154.5
PWY-5484,152.0
GLYCOLYSIS,152.0
PWY0-166,149.9
PWY-7184,149.9
PWY-6125,146.3
GLUCONEO-PWY,144.2
SO4ASSIM-PWY,142.6
HISTSYN-PWY,138.6
TCA-GLYOX-BYPASS,134.0
PEPTIDOGLYCANSYN-PWY,131.9
LEUSYN-PWY,126.8
PWY-6387,126.5
PWY-7221,125.2
GALACT-GLUCUROCAT-PWY,124.6
NAGLIPASYN-PWY,123.0
PWY0-1061,117.2
PWY-7219,117.1
PWY-7197,116.8
TCA,113.4
PWY-7196,111.6
DETOX1-PWY,109.8
ORNARGDEG-PWY,107.1
PWY-6608,104.6
ARGSYN-PWY,103.8
PWY-7187,99.2
MET-SAM-PWY,97.1
METSYN-PWY,97.1
PWY0-1297,95.3
THRESYN-PWY,94.8
ASPASN-PWY,93.9
GLUCARGALACTSUPER-PWY,93.9
TRPSYN-PWY,93.5
PWY0-41,89.6
VALSYN-PWY,89.5
PWY0-1477,88.8
GLYCOL-GLYOXDEG-PWY,88.7
AST-PWY,87.0
OXIDATIVEPENT-PWY,87.0
PWY-6071,85.5
PWY-5340,84.7
NONOXIPENT-PWY,81.7
GLUCUROCAT-PWY,81.5
PWY-7242,81.5
DAPLYSINESYN-PWY,81.0
PWY-7805,80.6
GALACTCAT-PWY,80.1
PWY-6961,79.7
LYXMET-PWY,79.7
PWY0-301,79.7
CYANCAT-PWY,78.7
PWY0-1298,78.6
PWY-5436,77.7
ARGDEG-PWY,77.6
GALACTUROCAT-PWY,77.5
AMMASSIM-PWY,77.5
GLUTSYN-PWY,77.5
PWY0-321,76.6
PPGPPMET-PWY,76.3
PWY-6123,76.2
PWY0-162,76.1
PWY-7195,75.1
PWY-7194,75.1
ARO-PWY,73.2
GLUTORN-PWY,73.0
POLYAMSYN-PWY,71.9
ILEUSYN-PWY,71.7
GLUCARDEG-PWY,70.7
PWY0-181,69.7
GLYCOLATEMET-PWY,68.1
GALACTARDEG-PWY,67.9
THREONINE-DEG2-PWY,66.9
ACETOACETATE-DEG-PWY,64.1
FUC-RHAMCAT-PWY,62.8
COLANSYN-PWY,62.7
GALACTMETAB-PWY,62.5
ALANINE-VALINESYN-PWY,61.4
GLYOXYLATE-BYPASS,61.3
HOMOSERSYN-PWY,59.2
PWY-7180,58.4
ALANINE-SYN2-PWY,55.8
PWY-7205,55.8
PWY0-1296,54.3
PWY-7220,52.7
PWY-5686,51.8
XYLCAT-PWY,51.8
ORNDEG-PWY,51.5
ASPARAGINE-DEG1-PWY,50.9
GLUTAMINDEG-PWY,50.7
SALVADEHYPOX-PWY,50.0
SALVPURINE2-PWY,49.2
PWY0-1325,48.3
PWY-6164,46.7
ARABCAT-PWY,46.7
TYRSYN,45.7
PWY0-1261,45.4
SER-GLYSYN-PWY,45.0
SERSYN-PWY,45.0
PWY0-1324,44.4
GLCMANNANAUT-PWY,44.4
GLUCOSE1PMETAB-PWY,43.6
PWY-40,42.4
PWY0-823,42.4
TREDEGLOW-PWY,39.3
MANNCAT-PWY,38.6
PWY-5659,38.6
PWY0-1295,38.5
HOMOSER-METSYN-PWY,37.9
FUCCAT-PWY,37.4
PLPSAL-PWY,37.2
PWY0-845,37.2
PWY-7179,36.9
PWY0-1277,36.1
ETOH-ACETYLCOA-ANA-PWY,36.1
PWY-5162,36.1
HOMOSER-THRESYN-PWY,35.6
PWY-6579,33.7
PWY0-1299,33.5
IDNCAT-PWY,31.8
GLUCONSUPER-PWY,31.8
KETOGLUCONMET-PWY,31.8
PWY-7193,31.5
PWY-6121,31.4
PWY-6277,31.4
PWY-6122,31.4
PWY-7206,29.8
PWY-46,29.5
PWY-6611,28.8
MANNIDEG-PWY,28.7
CYSTSYN-PWY,28.5
PROSYN-PWY,27.5
PWY0-1465,27.2
PHESYN,26.9
GLUTSYNIII-PWY,26.8
PWY-6163,26.5
ASPARAGINESYN-PWY,26.4
PWY-6620,24.6
THRDLCTCAT-PWY,24.6
GLYCEROLMETAB-PWY,24.3
PWY-7176,24.3
PWY-7208,24.3
PWY-7344,24.1
PWY0-1300,22.9
KDOSYN-PWY,22.9
PUTDEG-PWY,22.0
ASPARAGINE-BIOSYNTHESIS,21.9
PWY-6605,21.5
ALADEG-PWY,21.4
PWY-8072,21.4
GALACTITOLCAT-PWY,21.2
PWY-7222,21.1
OANTIGEN-PWY,20.8
UDPNAGSYN-PWY,20.8
GLYOXDEG-PWY,20.6
PWY0-1312,20.5
ACETATEUTIL-PWY,20.5
PWY0-381,20.4
PWY-4261,20.4
PWY-7181,20.2
PWY0-44,18.9
PWY-8294,16.6
PWY-8291,16.6
GLUTDEG-PWY,16.6
PWY-7870,16.5
METHGLYUT-PWY,15.5
PWY-5459,15.5
PWY0-1317,15.5
PWY-6537,13.2
4AMINOBUTMETAB-PWY,13.2
PWY-1269,11.9
ENTNER-DOUDOROFF-PWY,11.1
PWY-5971,10.6
PWY-6535,10.5
RHAMCAT-PWY,9.9
PWY-4381,9.7
FASYN-INITIAL-PWY,9.7
PWY0-881,9.7
PWY-6618,9.1
2PHENDEG-PWY,8.9
GLYCOCAT-PWY,6.9
PWY0-1182,6.9
PWY-6556,1.5
