,pathway,score,reaction
0,ACETOACETATE-DEG-PWY,98.9,R01359
1,PWY-6611,91.1,R01560
2,PWY-6609,91.1,R01560
3,SALVADEHYPOX-PWY,91.1,R01560
4,PWY0-1296,91.1,R01560
5,PUTDEG-PWY,87.0,R02549
6,ORNDEG-PWY,87.0,R02549
7,ARGDEG-PWY,79.05,R01648
8,ARGDEG-PWY,79.05,R02549
9,ORNARGDEG-PWY,79.05,R01648
10,ORNARGDEG-PWY,79.05,R02549
11,PWY-7196,72.6,R01878
12,PWY-7193,72.6,R01878
13,PWY-6556,72.6,R01878
14,PWY0-163,72.6,R01878
15,PWY0-1295,72.6,R01878
16,4AMINOBUTMETAB-PWY,71.1,R01648
17,PWY-6537,71.1,R01648
18,PWY-6535,71.1,R01648
19,GLYOXYLATE-BYPASS,63.199999999999996,R00351
20,GLYOXYLATE-BYPASS,63.199999999999996,R00342
21,ALANINE-SYN2-PWY,61.5,R00258
22,PWY0-1061,61.5,R00258
23,PWY0-1312,61.15,R00230
24,ACETATEUTIL-PWY,61.15,R00315
25,PWY0-1312,61.15,R00315
26,ACETATEUTIL-PWY,61.15,R00230
27,PWY0-1477,61.15,R00230
28,PWY0-1477,61.15,R00315
29,TCA,60.325,R08549
30,TCA,60.325,R00351
31,TCA,60.325,R00342
32,TCA,60.325,R01082
33,TCA-GLYOX-BYPASS,60.325,R08549
34,TCA-GLYOX-BYPASS,60.325,R00351
35,TCA-GLYOX-BYPASS,60.325,R00342
36,TCA-GLYOX-BYPASS,60.325,R01082
37,FERMENTATION-PWY,58.61666666666667,R01082
38,FERMENTATION-PWY,58.61666666666667,R00230
39,FERMENTATION-PWY,58.61666666666667,R00315
40,FERMENTATION-PWY,58.61666666666667,R00351
41,FERMENTATION-PWY,58.61666666666667,R00212
42,FERMENTATION-PWY,58.61666666666667,R00342
43,GLUCUROCAT-PWY,56.7,R05605
44,GLUCUROCAT-PWY,56.7,R01541
45,GALACT-GLUCUROCAT-PWY,56.7,R05605
46,GALACT-GLUCUROCAT-PWY,56.7,R01541
47,PWY-7242,56.7,R05605
48,PWY-7242,56.7,R01541
49,GALACTUROCAT-PWY,56.7,R05605
50,GALACTUROCAT-PWY,56.7,R01541
51,PENTOSE-P-PWY,55.0,R00835
52,PENTOSE-P-PWY,55.0,R01528
53,OXIDATIVEPENT-PWY,55.0,R00835
54,OXIDATIVEPENT-PWY,55.0,R01528
55,AMMASSIM-PWY,50.5,R00248
56,GLUTSYN-PWY,50.5,R00248
57,GLUTSYNIII-PWY,50.5,R00248
58,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R01015
59,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R01082
60,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R08549
61,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R00342
62,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R00351
63,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R00658
64,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R01061
65,GLYCOLYSIS-TCA-GLYOX-BYPASS,46.6375,R01512
66,GLYCOLYSIS-E-D,38.6,R01512
67,GLYCOLYSIS-E-D,38.6,R00835
68,GLYCOLYSIS-E-D,38.6,R00658
69,GLYCOLYSIS-E-D,38.6,R05605
70,GLYCOLYSIS-E-D,38.6,R01015
71,GLYCOLYSIS-E-D,38.6,R01061
72,GLUCONEO-PWY,37.733333333333334,R01015
73,GLUCONEO-PWY,37.733333333333334,R00216
74,GLUCONEO-PWY,37.733333333333334,R00342
75,GLUCONEO-PWY,37.733333333333334,R00658
76,GLUCONEO-PWY,37.733333333333334,R01061
77,GLUCONEO-PWY,37.733333333333334,R01512
78,ENTNER-DOUDOROFF-PWY,35.0,R05605
79,HEXITOLDEGSUPER-PWY,32.95,R00658
80,HEXITOLDEGSUPER-PWY,32.95,R01015
81,HEXITOLDEGSUPER-PWY,32.95,R01061
82,HEXITOLDEGSUPER-PWY,32.95,R01512
83,GLYCOLYSIS,32.95,R00658
84,PWY-5484,32.95,R01015
85,PWY-5484,32.95,R01061
86,PWY-5484,32.95,R01512
87,PWY-5484,32.95,R00658
88,GLYCOLYSIS,32.95,R01015
89,GLYCOLYSIS,32.95,R01061
90,GLYCOLYSIS,32.95,R01512
91,GLYCEROLMETAB-PWY,23.0,R01012
