id,subsystem,kegg.reaction,biocyc,score
ADSK,Cysteine Metabolism,R00509,ADENYLYLSULFKIN-RXN,84.7
BPNT,Cysteine Metabolism,R00188,325-BISPHOSPHATE-NUCLEOTIDASE-RXN,82.6
NDPK1,Nucleotide Salvage Pathway,R00330,GDPKIN-RXN,76.3
CSND,Nucleotide Salvage Pathway,R00974,CYTDEAM-RXN,75.1
ADK1,Nucleotide Salvage Pathway,R00127,ADENYL-KIN-RXN,71.2
PFL,Pyruvate Metabolism,R00212,PYRUVFORMLY-RXN,65.3
PGK,Glycolysis/Gluconeogenesis,R01512,PHOSGLYPHOS-RXN,61.0
CBMD,Nucleotide Salvage Pathway,R07316,RXN0-5222,59.1
PACCOAL,Alternate Carbon Metabolism,R02539,RXN-10819,58.7
ALATA_L,Alanine and Aspartate Metabolism,R00258,ALANINE-AMINOTRANSFERASE-RXN,55.8
CAT,Unassigned,R00009,CATAL-RXN,55.4
LDH_D,Pyruvate Metabolism,R00704,DLACTDEHYDROGNAD-RXN,55.0
SPODM,Unassigned,R00275,SUPEROX-DISMUT-RXN,54.4
ASNNpp,Alanine and Aspartate Metabolism,R00485,ASPARAGHYD-RXN,50.9
GLUNpp,Glutamate Metabolism,R00256,GLUTAMIN-RXN,50.7
NDPK4,Nucleotide Salvage Pathway,R02093,DTDPKIN-RXN,50.3
NTD7pp,Nucleotide Salvage Pathway,R00183,AMP-DEPHOSPHORYLATION-RXN,47.3
TARTD,Alternate Carbon Metabolism,R00339,LTARTDEHYDRA-RXN,47.2
RBP4E,Alternate Carbon Metabolism,R05850,RIBULPEPIM-RXN,46.7
MSAR,Nucleotide Salvage Pathway,R09289,RXN-8974,45.4
NTD2pp,Nucleotide Salvage Pathway,R00963,RXN-14025,44.2
NTD9pp,Nucleotide Salvage Pathway,R01227,RXN-7609,43.5
LSERDHr,Glycine and Serine Metabolism,R06126,RXN0-2201,42.5
GLYAT,Glycine and Serine Metabolism,R00371,AKBLIG-RXN,42.3
ADD,Nucleotide Salvage Pathway,R01244,ADENINE-DEAMINASE-RXN,42.2
THRA,Threonine and Lysine Metabolism,R00751,THREONINE-ALDOLASE-RXN,41.6
DDPGALA,Alternate Carbon Metabolism,R01064,DEHYDDEOXPHOSGALACT-ALDOL-RXN,41.5
GND,Pentose Phosphate Pathway,R01528,RXN-9952,40.1
XYLK,Alternate Carbon Metabolism,R01639,XYLULOKIN-RXN,38.6
MAN6PI,Alternate Carbon Metabolism,R01819,MANNPISOM-RXN,38.6
ACACCT,Alternate Carbon Metabolism,R01359,ACETOACETYL-COA-TRANSFER-RXN,38.2
3AMACHYD,Nucleotide Salvage Pathway,R09983,RXN0-6452,37.9
PYAM5PO,Cofactor and Prosthetic Group Biosynthesis,R00277,PMPOXI-RXN,37.2
IPMD,Valine: Leucine: and Isoleucine Metabolism,R04426,3-ISOPROPYLMALDEHYDROG-RXN,37.1
P5CD,Arginine and Proline Metabolism,R00707,PYRROLINECARBDEHYDROG-RXN,37.0
PYNP2r,Nucleotide Salvage Pathway,R01876,URPHOS-RXN,37.0
G1PPpp,Glycolysis/Gluconeogenesis,R00304,GLUCOSE-1-PHOSPHAT-RXN,36.7
NTD4pp,Nucleotide Salvage Pathway,R00511,RXN-14026,36.6
SUCOAS,Citric Acid Cycle,R00405,SUCCCOASYN-RXN,36.5
ACALD,Pyruvate Metabolism,R00228,ACETALD-DEHYDROG-RXN,36.1
ECOAH6,Membrane Lipid Metabolism,R04740,RXN-14273,36.0
GUAD,Nucleotide Salvage Pathway,R01676,GUANINE-DEAMINASE-RXN,35.5
NDPK3,Nucleotide Salvage Pathway,R00570,CDPKIN-RXN,35.1
PPA,Anaplerotic Reactions,R00004,INORGPYROPHOSPHAT-RXN,34.3
RPE,Pentose Phosphate Pathway,R01529,RIBULP3EPIM-RXN,34.2
HACD2,Membrane Lipid Metabolism,R04748,RXN-12570,33.8
ARGDC,Arginine and Proline Metabolism,R00566,ARGDECARBOX-RXN,33.5
ASAD,Threonine and Lysine Metabolism,R02291,ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,33.4
TMDK1,Nucleotide Salvage Pathway,R01567,THYKI-RXN,33.2
X5PL3E,Alternate Carbon Metabolism,R03244,LXULRU5P-RXN,33.0
VPAMTr,Valine: Leucine: and Isoleucine Metabolism,R01215,VALINE-PYRUVATE-AMINOTRANSFER-RXN,32.7
