,AMP_IC50,CIP_IC50,GENT_IC50
12PPDStex,0.0,0.0,0.0
12PPDStex_b,0.888593,19.524975,37.711573
12PPDStpp,0.0,0.0,0.0
12PPDStpp_b,0.036927,0.811402,1.567185
23CAMPtex,5.110756,5.516335,4.149303
23CCMPtex,0.986838,0.20995,0.257406
23CGMPtex,35.996999,54.420078,27.32914
23CUMPtex,2.834518,0.774195,0.007552
23PDE2pp,0.142671,0.038968,0.00038
23PDE4pp,0.232179,0.050208,0.06103
23PDE7pp,0.472353,0.511301,0.383618
23PDE9pp,1.813808,2.743931,1.377887
3AMPtex,3.782633,2.08263,1.859103
3CMPtex,10.331238,4.902782,1.422753
3GMPtex,25.904327,38.822267,38.136163
3NTD2pp,43.254976,14.35503,2.124515
3NTD4pp,36.082429,11.918654,7.60272
3NTD7pp,20.984085,16.147308,13.118038
3NTD9pp,12.080157,18.839845,13.914605
3OAR140,0.0,0.0,0.0
3OAS140,0.0,0.0,0.0
3OXCOAT,0.0,0.0,0.0
3UMPtex,0.0,0.0,0.0
5DGLCNR,8.161675,25.293757,19.845
5DGLCNt2rpp,0.410805,1.273122,0.998867
5DGLCNtex,0.020677,0.064081,0.050276
5DOAN,0.0,0.0,0.0
A5PISO,0.0,0.0,0.0
AACPS3,0.0,0.0,0.0
AACPS4,0.0,0.0,0.0
AACPS7,0.0,0.0,0.0
ABTA,26.521038,5.622005,90.8013
ABUTD,19.277747,14.063596,79.519912
ABUTt2pp,0.0,0.0,0.0
ABUTtex,0.0,0.0,0.0
ACACCT,96.239268,100.0,20.925508
ACACT1r,0.0,0.0,0.0
ACACT1r_b,1.943019,1.406978,0.244382
ACACt2pp,3.517147,3.70897,0.824003
ACACT2r,0.0,0.0,0.0
ACACT2r_b,0.0,0.0,0.0
ACACT3r,0.0,0.0,0.0
ACACT3r_b,0.0,0.0,0.0
ACACT4r,0.0,0.0,0.0
ACACT4r_b,0.0,0.0,0.0
ACACT5r,0.0,0.0,0.0
ACACT6r,0.0,0.0,0.0
ACACT7r,0.0,0.0,0.0
ACACtex,0.17703,0.186685,0.041475
ACALD,0.0,0.0,0.0
ACALD_b,0.0,0.0,0.0
ACCOAC,0.0,0.0,0.0
ACCOAL,0.0,0.0,0.0
ACGAptspp,1.442974,7.951777,18.304774
ACGAtex,0.037426,0.206243,0.474767
ACGK,0.0,0.0,0.0
ACGS,0.0,0.0,0.0
ACHBS,0.0,0.0,0.0
ACKr,0.0,0.0,0.0
ACKr_b,8.070452,4.138024,21.225196
ACLS,0.0,0.0,0.0
ACMANAptspp,0.0,0.0,0.0
ACMANAtex,0.0,0.0,0.0
ACOAD1f,0.0,0.0,0.0
ACOAD1f_b,0.0,0.0,0.0
ACOAD2f,0.0,0.0,0.0
ACOAD2f_b,0.0,0.0,0.0
ACOAD3f,0.0,0.0,0.0
ACOAD3f_b,0.0,0.0,0.0
ACOAD4f,0.0,0.0,0.0
ACOAD4f_b,0.0,0.0,0.0
ACOAD5f_b,0.0,0.0,0.0
ACOAD6f_b,0.0,0.0,0.0
ACOAD7f_b,0.0,0.0,0.0
ACODA,0.0,0.0,0.0
ACONTa,7.674654,2.165371,0.015866
ACONTa_b,2.344224,9.490508,6.091898
ACONTb,2.267635,1.071155,0.263737
ACONTb_b,0.097287,0.639143,0.400121
ACOTA_b,0.0,0.0,0.0
ACt2rpp,0.0,0.0,0.0
ACt2rpp_b,1.147726,0.734832,0.759644
ACt4pp,0.0,0.0,0.0
ACtex,0.0,0.0,0.0
ACtex_b,0.023359,0.01551,0.017869
ADA,57.200969,40.881635,16.898832
ADCL,0.0,0.0,0.0
ADCS,0.0,0.0,0.0
ADD,61.94824,46.544658,22.793457
ADEt2rpp,38.982764,46.120324,9.889697
ADEtex,1.962137,2.321395,0.497783
ADK1,0.628837,3.108305,1.311302
ADNK1,0.0,0.0,0.0
ADNt2pp_copy1,0.0,0.0,0.0
ADNt2pp_copy2,0.0,0.0,0.0
ADNtex,0.0,0.0,0.0
ADSK,0.0,0.0,0.0
ADSL1r,0.0,0.0,0.0
ADSL2r,0.0,0.0,0.0
ADSS,0.0,0.0,0.0
AGDC,1.514066,0.631912,4.580872
AGMT,0.0,0.0,0.0
AGMtex,0.0,0.0,0.0
AGMtex_b,0.0,0.0,0.0
AGPAT160,0.0,0.0,0.0
AGPAT161,0.0,0.0,0.0
AGPR_b,0.0,0.0,0.0
AHCYSNS,0.0,0.0,0.0
AICART,0.0,0.0,0.0
AIRC2,0.0,0.0,0.0
AIRC3_b,0.0,0.0,0.0
AKGDH,3.698528,1.802633,0.684385
AKGt2rpp,0.0,0.0,0.0
AKGtex,0.0,0.0,0.0
ALAALAr,0.0,0.0,0.0
ALAR,0.0,0.0,0.0
ALAR_b,0.0,0.0,0.0
ALAt2pp_copy1,6.660937,0.771038,8.696238
ALAt2pp_copy2,0.212844,0.025097,0.280718
ALAt2pp_copy2_b,0.0,0.0,0.0
ALAt4pp,0.0,0.0,0.0
ALATA_L,18.416033,1.934753,22.949517
ALATA_L_b,0.0,0.0,0.0
ALAtex,0.0,0.0,0.0
ALCD2x_b,0.0,0.0,0.0
ALDD19xr,0.0,0.0,0.0
ALDD4,0.0,0.0,0.0
ALLabcpp,7.763205,28.059458,24.288676
ALLK,0.390749,1.41233,1.222533
ALLPI,0.019668,0.071087,0.061534
ALLTAMH,23.816022,13.124929,8.41261
ALLtex,0.0,0.0,0.0
ALLTN,0.091511,0.050431,0.032325
ALLTNt2rpp,0.0,0.0,0.0
ALLTNtex,0.0,0.0,0.0
ALLULPE,0.0,0.0,0.0
ALTRH,1.913158,4.930666,11.222765
AMALT2,0.0,0.0,0.0
AMALT3,0.0,0.0,0.0
AMALT4,0.0,0.0,0.0
AMANAPEr,1.117539,5.019003,5.946235
AMAOTr,0.0,0.0,0.0
AMPMS2,0.0,0.0,0.0
AMPTASECG,5.673362,29.27681,22.210245
AMPtex,0.0,0.0,0.0
ANPRT,0.0,0.0,0.0
ANS,0.0,0.0,0.0
AOXSr2,0.0,0.0,0.0
APRAUR,0.0,0.0,0.0
ARAI,1.143785,0.904677,4.120425
ARBt2rpp,0.057571,0.045536,0.207395
ARBtex,0.002898,0.002292,0.010439
ARGAGMt7pp,0.0,0.0,0.0
ARGAGMt7pp_b,0.0,0.0,0.0
ARGDC,0.0,0.0,0.0
ARGORNt7pp,0.0,0.0,0.0
ARGSL,0.0,0.0,0.0
ARGSS,0.0,0.0,0.0
ARGtex,0.0,0.0,0.0
ASAD_b,0.0,0.0,0.0
ASNN,23.431599,49.048425,30.588254
ASNNpp,0.0,0.0,0.0
ASNS2,0.0,0.0,0.0
