met_id,e_met_id,p_met_id,c_met_id
arab__L,arab__L_e,arab__L_p,arab__L_c
acgam,acgam_e,acgam_p,acgam_c
glcr,glcr_e,glcr_p,glcr_c
succ,succ_e,succ_p,succ_c
gal,gal_e,gal_p,gal_c
asp__L,asp__L_e,asp__L_p,asp__L_c
pro__L,pro__L_e,pro__L_p,pro__L_c
ala__D,ala__D_e,ala__D_p,ala__D_c
tre,tre_e,tre_p,tre_c
man,man_e,man_p,man_c
galt,galt_e,galt_p,-
ser__D,ser__D_e,ser__D_p,ser__D_c
sbt__D,sbt__D_e,sbt__D_p,-
glyc,glyc_e,glyc_p,glyc_c
fuc__L,fuc__L_e,fuc__L_p,fuc__L_c
glcur,glcur_e,glcur_p,glcur_c
glcn,glcn_e,glcn_p,glcn_c
glyc3p,glyc3p_e,glyc3p_p,glyc3p_c
xyl__D,xyl__D_e,xyl__D_p,xyl__D_c
lac__L,lac__L_e,lac__L_p,lac__L_c
for,for_e,for_p,for_c
mnl,mnl_e,mnl_p,-
glu__L,glu__L_e,glu__L_p,glu__L_c
g6p,g6p_e,g6p_p,g6p_c
galctn__D,galctn__D_e,galctn__D_p,galctn__D_c
mal__D,mal__D_e,mal__D_p,mal__D_c
mal__L,mal__L_e,mal__L_p,mal__L_c
rib__D,rib__D_e,rib__D_p,rib__D_c
rmn,rmn_e,rmn_p,rmn_c
fru,fru_e,fru_p,fru_c
ac,ac_e,ac_p,ac_c
glc__D,glc__D_e,glc__D_p,glc__D_c
malt,malt_e,malt_p,malt_c
melib,melib_e,melib_p,melib_c
thymd,thymd_e,thymd_p,thymd_c
asn__L,asn__L_e,asn__L_p,asn__L_c
12ppd__S,12ppd__S_e,12ppd__S_p,12ppd__S_c
akg,akg_e,akg_p,akg_c
2obut,-,-,2obut_c
lcts,lcts_e,lcts_p,lcts_c
sucr,sucr_e,sucr_p,-
uri,uri_e,uri_p,uri_c
gln__L,gln__L_e,gln__L_p,gln__L_c
g1p,g1p_e,g1p_p,g1p_c
f6p,f6p_e,f6p_p,f6p_c
malttr,malttr_e,malttr_p,malttr_c
dad_2,dad_2_e,dad_2_p,dad_2_c
adn,adn_e,adn_p,adn_c
cit,cit_e,cit_p,cit_c
inost,inost_e,inost_p,inost_c
fum,fum_e,fum_p,fum_c
ppa,ppa_e,ppa_p,ppa_c
galct__D,galct__D_e,galct__D_p,galct__D_c
glyclt,glyclt_e,glyclt_p,glyclt_c
glx,-,-,glx_c
ins,ins_e,ins_p,ins_c
ser__L,ser__L_e,ser__L_p,ser__L_c
thr__L,thr__L_e,thr__L_p,thr__L_c
ala__L,ala__L_e,ala__L_p,ala__L_c
acac,acac_e,acac_p,acac_c
