!!!SBtab Document='eQuilibrator thermodynamic data' SBtabVersion='1.0' Date='2019-12-12',,,,,,,,
!!SBtab TableID='FormationGFE' TableType='Quantity' TableName='Compound table of biochemical formation energies' SBtabVersion='1.0' Date='2019-12-12' Unit='kJ/mol' IonicStrengthUnit='M' TemperatureUnit='K',,,,,,,,
!QuantityType,!Identifiers:kegg.compound,!Unit,!Name,!Mean,!pH,!IonicStrength,!Temperature,!Comment
standard Gibbs energy of formation,C00001,kJ/mol,C_h2o,-156.1,7,0.1,298.15,
standard Gibbs energy of formation,C00002,kJ/mol,C_atp,-2292.4,7,0.1,298.15,
standard Gibbs energy of formation,C00003,kJ/mol,C_nad,1053.6,7,0.1,298.15,
standard Gibbs energy of formation,C00004,kJ/mol,C_nadh,1115,7,0.1,298.15,
standard Gibbs energy of formation,C00005,kJ/mol,C_nadph,235.2,7,0.1,298.15,
standard Gibbs energy of formation,C00006,kJ/mol,C_nadp,173,7,0.1,298.15,
standard Gibbs energy of formation,C00007,kJ/mol,C_oxygen,16.4,7,0.1,298.15,
standard Gibbs energy of formation,C00008,kJ/mol,C_adp,-1425.8,7,0.1,298.15,
standard Gibbs energy of formation,C00009,kJ/mol,C_orthophosphate,-1059.2,7,0.1,298.15,
standard Gibbs energy of formation,C00010,kJ/mol,C_coa,1238.9,7,0.1,298.15,
standard Gibbs energy of formation,C00011,kJ/mol,C_co2,-386,7,0.1,298.15,
standard Gibbs energy of formation,C00013,kJ/mol,C_diphosphate,-1939.2,7,0.1,298.15,
standard Gibbs energy of formation,C00014,kJ/mol,C_nh3,82.3,7,0.1,298.15,
standard Gibbs energy of formation,C00016,kJ/mol,C_fad,1254.5,7,0.1,298.15,
standard Gibbs energy of formation,C00020,kJ/mol,C_amp,-556.8,7,0.1,298.15,
standard Gibbs energy of formation,C00022,kJ/mol,C_pyruvate,-351.2,7,0.1,298.15,
standard Gibbs energy of formation,C00024,kJ/mol,C_acetyl_coa,1180.3,7,0.1,298.15,
standard Gibbs energy of formation,C00025,kJ/mol,C_l_glutamate,-373.7,7,0.1,298.15,
standard Gibbs energy of formation,C00026,kJ/mol,C_2_oxoglutarate,-633.7,7,0.1,298.15,
standard Gibbs energy of formation,C00027,kJ/mol,C_hydrogen_peroxide,-52.9,7,0.1,298.15,
standard Gibbs energy of formation,C00031,kJ/mol,C_d_glucose,-429.3,7,0.1,298.15,
standard Gibbs energy of formation,C00033,kJ/mol,C_acetate,-248.3,7,0.1,298.15,
standard Gibbs energy of formation,C00036,kJ/mol,C_oxaloacetate,-714.6,7,0.1,298.15,
standard Gibbs energy of formation,C00037,kJ/mol,C_glycine,-177.2,7,0.1,298.15,
standard Gibbs energy of formation,C00041,kJ/mol,C_l_alanine,-87.2,7,0.1,298.15,
standard Gibbs energy of formation,C00042,kJ/mol,C_succinate,-530.7,7,0.1,298.15,
standard Gibbs energy of formation,C00048,kJ/mol,C_glyoxylate,-428.7,7,0.1,298.15,
standard Gibbs energy of formation,C00049,kJ/mol,C_l_aspartate,-453.2,7,0.1,298.15,
standard Gibbs energy of formation,C00051,kJ/mol,C_glutathione,634.4,7,0.1,298.15,
standard Gibbs energy of formation,C00058,kJ/mol,C_formate,-311.1,7,0.1,298.15,
standard Gibbs energy of formation,C00059,kJ/mol,C_sulfate,-747,7,0.1,298.15,
standard Gibbs energy of formation,C00061,kJ/mol,C_fmn,767.9,7,0.1,298.15,
standard Gibbs energy of formation,C00064,kJ/mol,C_l_glutamine,-122.6,7,0.1,298.15,
standard Gibbs energy of formation,C00065,kJ/mol,C_l_serine,-227,7,0.1,298.15,
standard Gibbs energy of formation,C00067,kJ/mol,C_formaldehyde,-40.4,7,0.1,298.15,
standard Gibbs energy of formation,C00073,kJ/mol,C_l_methionine,-56.9,7,0.1,298.15,
standard Gibbs energy of formation,C00074,kJ/mol,C_phosphoenolpyruvate,-1188.6,7,0.1,298.15,
standard Gibbs energy of formation,C00078,kJ/mol,C_l_tryptophan,371.9,7,0.1,298.15,
