!!!SBtab Document='eQuilibrator thermodynamic data' SBtabVersion='1.0' Date='2019-12-12',,,,,,,,
!!SBtab TableID='ReactionGFE' TableType='Quantity' TableName='Reaction table of transformed energies' SBtabVersion='1.0' Date='2019-12-12' Unit='kJ/mol' IonicStrengthUnit='M' TemperatureUnit='K',,,,,,,,
!QuantityType,!Identifiers:kegg.reaction,!Unit,!Mean,!Std,!pH,!IonicStrength,!Temperature,!Comment
standard Gibbs energy of formation,R00002,kJ/mol,-745.3,47.4,7,0.1,298.15,
standard Gibbs energy of formation,R00004,kJ/mol,-15.8,0.4,7,0.1,298.15,
standard Gibbs energy of formation,R00005,kJ/mol,-78.5,15.1,7,0.1,298.15,
standard Gibbs energy of formation,R00006,kJ/mol,32.3,7.4,7,0.1,298.15,
standard Gibbs energy of formation,R00008,kJ/mol,16.3,4.6,7,0.1,298.15,
standard Gibbs energy of formation,R00009,kJ/mol,-193.1,13.3,7,0.1,298.15,
standard Gibbs energy of formation,R00010,kJ/mol,-11.7,2.1,7,0.1,298.15,
standard Gibbs energy of formation,R00011,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00012,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00013,kJ/mol,-19.6,8.8,7,0.1,298.15,
standard Gibbs energy of formation,R00014,kJ/mol,-29.5,6.8,7,0.1,298.15,
standard Gibbs energy of formation,R00015,kJ/mol,-6.1,10.7,7,0.1,298.15,
standard Gibbs energy of formation,R00016,kJ/mol,-1.2,5.2,7,0.1,298.15,
standard Gibbs energy of formation,R00017,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00018,kJ/mol,-0.9,8,7,0.1,298.15,
standard Gibbs energy of formation,R00019,kJ/mol,18,13,7,0.1,298.15,
standard Gibbs energy of formation,R00021,kJ/mol,66,11.8,7,0.1,298.15,
standard Gibbs energy of formation,R00022,kJ/mol,-13.8,10.8,7,0.1,298.15,
standard Gibbs energy of formation,R00023,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00024,kJ/mol,-28.4,7.5,7,0.1,298.15,
standard Gibbs energy of formation,R00025,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00026,kJ/mol,-12.9,3.7,7,0.1,298.15,
standard Gibbs energy of formation,R00027,kJ/mol,7.8,10.2,7,0.1,298.15,
standard Gibbs energy of formation,R00028,kJ/mol,-14.6,3.1,7,0.1,298.15,
standard Gibbs energy of formation,R00029,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00031,kJ/mol,-519.3,19.4,7,0.1,298.15,
standard Gibbs energy of formation,R00032,kJ/mol,-364.5,45.1,7,0.1,298.15,
standard Gibbs energy of formation,R00033,kJ/mol,-110.3,8.4,7,0.1,298.15,
standard Gibbs energy of formation,R00034,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00036,kJ/mol,-109.5,7.9,7,0.1,298.15,
standard Gibbs energy of formation,R00038,kJ/mol,-10,2.3,7,0.1,298.15,
standard Gibbs energy of formation,R00039,kJ/mol,1,13.3,7,0.1,298.15,
standard Gibbs energy of formation,R00041,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00042,kJ/mol,-670.7,22.1,7,0.1,298.15,
standard Gibbs energy of formation,R00043,kJ/mol,-368.5,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R00044,kJ/mol,-478.6,9,7,0.1,298.15,
standard Gibbs energy of formation,R00045,kJ/mol,-381.6,24,7,0.1,298.15,
standard Gibbs energy of formation,R00047,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00048,kJ/mol,-49.3,9.7,7,0.1,298.15,
standard Gibbs energy of formation,R00049,kJ/mol,-8.2,2.9,7,0.1,298.15,
standard Gibbs energy of formation,R00052,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00053,kJ/mol,-56.8,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R00054,kJ/mol,-57.1,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R00055,kJ/mol,-424,14.3,7,0.1,298.15,
standard Gibbs energy of formation,R00056,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00057,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00058,kJ/mol,-270.5,33.9,7,0.1,298.15,
standard Gibbs energy of formation,R00059,kJ/mol,3.5,3.3,7,0.1,298.15,
standard Gibbs energy of formation,R00060,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00061,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00062,kJ/mol,0,0,7,0.1,298.15,
standard Gibbs energy of formation,R00063,kJ/mol,-6.5,27.8,7,0.1,298.15,
standard Gibbs energy of formation,R00066,kJ/mol,-162.7,44.1,7,0.1,298.15,
standard Gibbs energy of formation,R00067,kJ/mol,98.7,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00068,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00069,kJ/mol,161.3,12.9,7,0.1,298.15,
standard Gibbs energy of formation,R00070,kJ/mol,-671,43.9,7,0.1,298.15,
standard Gibbs energy of formation,R00072,kJ/mol,-169,8.5,7,0.1,298.15,
standard Gibbs energy of formation,R00073,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00074,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00075,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00076,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00077,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00078,kJ/mol,-46.9,33.5,7,0.1,298.15,
standard Gibbs energy of formation,R00080,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00081,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00082,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00083,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00084,kJ/mol,-128.7,16.2,7,0.1,298.15,
standard Gibbs energy of formation,R00085,kJ/mol,-50.2,1.2,7,0.1,298.15,
standard Gibbs energy of formation,R00086,kJ/mol,-26.4,0.6,7,0.1,298.15,
standard Gibbs energy of formation,R00087,kJ/mol,-34.4,1.1,7,0.1,298.15,
standard Gibbs energy of formation,R00088,kJ/mol,-57.8,7,7,0.1,298.15,
standard Gibbs energy of formation,R00089,kJ/mol,7,2,7,0.1,298.15,
standard Gibbs energy of formation,R00090,kJ/mol,-326.5,6.4,7,0.1,298.15,
standard Gibbs energy of formation,R00091,kJ/mol,-6.4,29.7,7,0.1,298.15,
standard Gibbs energy of formation,R00092,kJ/mol,206.5,16.4,7,0.1,298.15,
standard Gibbs energy of formation,R00093,kJ/mol,49.4,1.8,7,0.1,298.15,
standard Gibbs energy of formation,R00094,kJ/mol,16.4,1.7,7,0.1,298.15,
standard Gibbs energy of formation,R00095,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00097,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00099,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00100,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00101,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00102,kJ/mol,-35,8.7,7,0.1,298.15,
standard Gibbs energy of formation,R00103,kJ/mol,-36,5.9,7,0.1,298.15,
standard Gibbs energy of formation,R00104,kJ/mol,-11.8,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00105,kJ/mol,-10.8,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00106,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00107,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00108,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00109,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00111,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00112,kJ/mol,-1,0.7,7,0.1,298.15,
standard Gibbs energy of formation,R00113,kJ/mol,-327.5,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R00114,kJ/mol,50.3,1.9,7,0.1,298.15,
standard Gibbs energy of formation,R00115,kJ/mol,17.4,1.6,7,0.1,298.15,
standard Gibbs energy of formation,R00118,kJ/mol,-14.6,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00119,kJ/mol,-32.6,9.3,7,0.1,298.15,
standard Gibbs energy of formation,R00120,kJ/mol,-117,8.4,7,0.1,298.15,
standard Gibbs energy of formation,R00122,kJ/mol,-23.8,0.6,7,0.1,298.15,
standard Gibbs energy of formation,R00123,kJ/mol,-61.5,7.6,7,0.1,298.15,
standard Gibbs energy of formation,R00125,kJ/mol,-35.8,18.3,7,0.1,298.15,
standard Gibbs energy of formation,R00126,kJ/mol,9.5,18.3,7,0.1,298.15,
standard Gibbs energy of formation,R00127,kJ/mol,-2.6,0.3,7,0.1,298.15,
standard Gibbs energy of formation,R00128,kJ/mol,-32.4,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00129,kJ/mol,-55.2,13.5,7,0.1,298.15,
standard Gibbs energy of formation,R00130,kJ/mol,3.7,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00131,kJ/mol,-29.9,9,7,0.1,298.15,
standard Gibbs energy of formation,R00132,kJ/mol,3.2,8.4,7,0.1,298.15,
standard Gibbs energy of formation,R00134,kJ/mol,-13.1,6.5,7,0.1,298.15,
standard Gibbs energy of formation,R00137,kJ/mol,1.6,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00138,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00139,kJ/mol,2.7,2.5,7,0.1,298.15,
standard Gibbs energy of formation,R00140,kJ/mol,-0.2,2.5,7,0.1,298.15,
standard Gibbs energy of formation,R00141,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00143,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00145,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00146,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00148,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00149,kJ/mol,0,7.9,7,0.1,298.15,
standard Gibbs energy of formation,R00150,kJ/mol,26.4,7.8,7,0.1,298.15,
standard Gibbs energy of formation,R00152,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00153,kJ/mol,-132.2,7.2,7,0.1,298.15,
standard Gibbs energy of formation,R00155,kJ/mol,-21.2,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R00156,kJ/mol,-2.3,2.5,7,0.1,298.15,
standard Gibbs energy of formation,R00157,kJ/mol,-0.2,2.5,7,0.1,298.15,
standard Gibbs energy of formation,R00158,kJ/mol,-5.1,6.3,7,0.1,298.15,
standard Gibbs energy of formation,R00159,kJ/mol,-24.1,2.5,7,0.1,298.15,
standard Gibbs energy of formation,R00160,kJ/mol,-23.2,9.4,7,0.1,298.15,
standard Gibbs energy of formation,R00161,kJ/mol,-11.3,9.4,7,0.1,298.15,
standard Gibbs energy of formation,R00162,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00164,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00165,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00166,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00167,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00168,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00169,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00170,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00172,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00173,kJ/mol,-12.4,8,7,0.1,298.15,
standard Gibbs energy of formation,R00174,kJ/mol,-14,8,7,0.1,298.15,
standard Gibbs energy of formation,R00175,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00177,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00178,kJ/mol,-22.3,6.1,7,0.1,298.15,
standard Gibbs energy of formation,R00179,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00180,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00181,kJ/mol,-31.6,3.8,7,0.1,298.15,
standard Gibbs energy of formation,R00182,kJ/mol,-17.7,3,7,0.1,298.15,
standard Gibbs energy of formation,R00183,kJ/mol,-14.2,2.8,7,0.1,298.15,
standard Gibbs energy of formation,R00184,kJ/mol,-33.3,18.3,7,0.1,298.15,
standard Gibbs energy of formation,R00185,kJ/mol,-12.2,2.8,7,0.1,298.15,
standard Gibbs energy of formation,R00187,kJ/mol,nan,nan,7,0.1,298.15,uncertainty is too high
standard Gibbs energy of formation,R00188,kJ/mol,-10.8,6,7,0.1,298.15,
standard Gibbs energy of formation,R00189,kJ/mol,-16.3,12.9,7,0.1,298.15,
standard Gibbs energy of formation,R00190,kJ/mol,17.2,2.6,7,0.1,298.15,
standard Gibbs energy of formation,R00191,kJ/mol,-41.5,2.2,7,0.1,298.15,
standard Gibbs energy of formation,R00192,kJ/mol,34.7,5.8,7,0.1,298.15,
standard Gibbs energy of formation,R00193,kJ/mol,-23.6,9.5,7,0.1,298.15,
