,control
A5PISO,0.04
AACPS2,0.15
AACPS3,0.13
AACPS7,0.08
ACACT1r,0.35
ACACT2r,0.35
ACACT3r,0.35
ACACT4r,0.35
ACACT5r,0.35
ACACT6r,0.27
ACACT7r,0.13
ACCOAC,0.23
ACGK,0.11
ACGS,0.11
ACHBS,0.13
ACKr_b,8.85
ACLS,0.34
ACOAD1fr,0.35
ACOAD2f_b,0.35
ACOAD3f_b,0.35
ACOAD4f_b,0.35
ACOAD5f_b,0.35
ACOAD6f_b,0.13
ACOAD7f_b,0.13
ACODA,0.11
ACONTa,2.64
ACONTb,2.64
ACOTA_b,0.11
ACPPAT160,0.06
ACPPAT161,0.07
ACt2rpp_b,9.09
ACtex_b,9.08
ADK3,2.91
ADSK,0.08
ADSL1r,0.14
ADSL2r,0.21
ADSS,0.14
AGPAT160,0.06
AGPAT161,0.07
AGPR_b,0.11
AICART,0.25
AIRC2,0.21
AIRC3_b,0.21
AKGDH,2.23
ALAALAr,0.03
ALAR,0.04
ALATA_L_b,0.44
ANPRT,0.02
ANS,0.02
APG3PAT160,0.06
APG3PAT161,0.07
ARGSL,0.11
ARGSS,0.11
ASAD_b,0.44
ASNS2,0.07
ASPCT,0.17
ASPK,0.44
ASPTA_b,1.24
ATPM,6.86
ATPPRT,0.04
ATPS4rpp,60.77
ATPS4rpp_degradation,0.04
BIOMASS_Ec_iML1515_core_75p37M,0.99
BPNT,0.08
CBMKr,0.28
CHORM,0.13
CHORS,0.15
CO2tex_b,20.68
CO2tpp_b,20.68
CS,2.64
CTECOAI6_b,0.15
CTPS2,0.09
CYSS,0.08
CYSTL,0.06
CYTBO3_4pp,36.99
CYTK1,0.19
DALAt2pp,0.01
DAPDC,0.12
DAPE,0.15
DASYN160,0.06
DASYN161,0.07
DDPA,0.15
DHAD1,0.34
DHAD2,0.13
DHDPRy,0.15
DHDPS,0.15
DHFR,0.03
DHORDfum,0.17
DHORTS_b,0.17
DHQS,0.15
DHQTi,0.15
DTMPK,0.03
DUTPDP,0.03
EAR161x,0.15
ECOAH1,0.35
ECOAH2,0.35
ECOAH3,0.35
ECOAH4,0.35
ECOAH5,0.35
ECOAH6,0.27
ECOAH7,0.13
ENO,17.42
EX_ac_e,9.08
EX_co2_e,20.68
EX_fe2_e_b,0.02
EX_glc__D_e_b,10.0
EX_h2o_e,32.81
EX_h_e,17.48
EX_k_e_b,0.19
EX_nh4_e_b,4.55
EX_o2_e_b,18.5
EX_pi_e,0.76
EX_so4_e_b,0.08
FACOAE120,0.08
FACOAE141,0.15
FACOAE160,0.13
FADRx,2.01
FBA,9.04
FE2tex,0.02
FE2tpp,0.02
FUM,2.69
G1PACT,0.09
G3PD2_b,0.14
G5SADs,0.07
G5SD,0.07
G6PDH2r,1.49
GAPD,18.2
