,control
3OAR140,0.08
3OAS140,0.08
A5PISO,0.04
AACPS3,0.13
AACPS4,0.15
AACPS7,0.08
ACACT1r,0.35
ACACT2r,0.35
ACACT3r,0.35
ACACT4r,0.35
ACACT5r,0.35
ACACT6r,0.27
ACACT7r,0.27
ACCOAC,0.08
ACGK,0.29
ACGS,0.29
ACHBS,0.29
ACLS,0.86
ACOAD1f_b,0.35
ACOAD2f_b,0.35
ACOAD3f_b,0.35
ACOAD4f_b,0.35
ACOAD5f_b,0.35
ACOAD6f_b,0.27
ACOAD7f_b,0.13
ACODA,0.29
ACONTa,4.86
ACONTb,4.86
ACOTA_b,0.29
ACS,0.57
ADK1,2.23
ADSK,0.24
ADSL1r,0.29
ADSL2r,0.44
ADSS,0.29
AGPAT160,0.06
AGPAT161,0.07
AGPR_b,0.29
AICART,0.53
AIRC2,0.44
AIRC3_b,0.44
AKGDH,3.8
ALAALAr,0.03
ALAR,0.04
ANPRT,0.06
ANS,0.06
ARGSL,0.29
ARGSS,0.29
ASAD_b,1.05
ASNS2,0.24
ASPCT,0.32
ASPK,1.05
ASPTA_b,2.88
ATPM,3.15
ATPPRT,0.09
ATPS4rpp,55.82
BIOMASS_Ec_iJO1366_core_53p95M,0.98
BPNT,0.24
CBMKr,0.62
CHORM,0.32
CHORS,0.37
CO2tex_b,19.68
CO2tpp_b,19.68
CS,4.86
CTECOAI7_b,0.15
CTPS2,0.16
CYSS,0.24
CYSTL,0.15
CYTBO3_4pp,35.15
CYTK1,0.18
DALAt2pp,0.01
DAPDC,0.34
DAPE,0.36
DASYN160,0.06
DASYN161,0.07
DDPA,0.37
DHAD1,0.86
DHAD2,0.29
DHAPT,0.87
DHDPRy,0.36
DHDPS,0.36
DHFR,0.03
DHORD5,0.32
DHORTS_b,0.32
DHQS,0.37
DHQTi,0.37
DTMPK,0.03
DUTPDP,0.03
ECOAH1,0.35
ECOAH2,0.35
ECOAH3,0.35
ECOAH4,0.35
ECOAH5,0.35
ECOAH6,0.27
ECOAH7,0.27
ENO,14.59
EX_co2_e,19.68
EX_fe2_e_b,0.02
EX_glc__D_e_b,10.0
EX_h2o_e,45.62
EX_h_e,9.03
EX_k_e_b,0.19
EX_nh4_e_b,10.61
EX_o2_e_b,17.58
EX_pi_e_b,0.95
EX_so4_e_b,0.25
F6PA,0.87
FACOAE120,0.08
FACOAE160,0.13
FACOAE161,0.15
FADRx,2.15
FBA3,6.92
FE2tex,0.02
FE2tpp,0.02
FRD2,31.35
FUM,4.83
G1PACT,0.09
G3PAT160,0.06
G3PAT161,0.07
G3PD2_b,0.14
G5SADs,0.22
G5SD,0.22
G6PDH2r,4.08
GAPD,16.27
GARFT,0.44
GF6PTA,0.09
GHMT2r,1.1
GK1,0.24
GLCptspp,10.0
GLCtex_copy2,10.0
GLNS,1.78
GLU5K,0.22
GLUDy_b,8.4
GLUPRT,0.44
GLUR_b,0.03
GLYCL,0.05
GMPS2,0.24
GND,4.08
GRXR,0.24
GTHOr,0.24
H2Otex_b,45.62
H2Otpp_b,45.62
HACD1,0.35
HACD2,0.35
HACD3,0.35
HACD4,0.35
HACD5,0.35
HACD6,0.27
HACD7,0.27
HCO3E,0.52
HISTD,0.09
HISTP,0.09
HSDy_b,0.69
HSK,0.53
HSST,0.15
HSTPT,0.09
Htex_b,9.03
ICDHyr,4.86
IG3PS,0.09
IGPDH,0.09
IGPS,0.06
ILETA_b,0.29
IMPC_b,0.53
IMPD,0.24
IPMD,0.44
IPPMIa_b,0.44
IPPMIb_b,0.44
IPPS,0.44
K2L4Aabcpp,0.02
K2L4Aabctex,0.02
KARA1_b,0.86
KARA2,0.29
KDOCT2,0.04
KDOPP,0.04
KDOPS,0.04
Kt2pp,0.19
Ktex,0.19
LEUTAi,0.44
LPADSS,0.02
MCOATA,0.08
MCTP1App,0.01
MDH,4.83
METS,0.15
MOAT,0.02
MOAT2,0.02
MPTG,0.01
MTHFC,0.97
MTHFD,0.97
MTHFR2,0.15
NADH17pp,31.02
NDPK1,0.78
NDPK2,0.42
NDPK3,0.18
NDPK4,0.03
NH4tex,10.61
NH4tpp,10.61
O2tex,17.58
O2tpp,17.58
OCBT,0.29
OMCDC,0.44
OMPDC,0.32
