,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
A5PISO,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03
AACPS2,0.06,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.05,0.06,0.06,0.07,0.08,0.08,0.09,0.1
AACPS3,0.05,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08
AACPS7,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05
ACACT1r,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACACT2r,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACACT3r,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACACT4r,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACACT5r,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACACT6r,0.12,0.0,0.0,0.0,0.03,0.05,0.06,0.08,0.09,0.1,0.12,0.13,0.14,0.16,0.17,0.18
ACACT7r,0.05,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08
ACCOAC,0.1,0.0,0.0,0.0,0.03,0.04,0.05,0.06,0.07,0.09,0.1,0.11,0.12,0.13,0.14,0.15
ACGK,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
ACGS,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
ACHBS,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04
ACKr_b,17.86,0.0,0.0,0.0,7.47,9.23,10.97,12.7,14.43,16.13,17.86,19.54,21.21,22.89,24.54,26.16
ACLS,0.04,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1
ACOAD1fr,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACOAD2f_b,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACOAD3f_b,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACOAD4f_b,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACOAD5f_b,0.15,0.0,0.0,0.0,0.04,0.06,0.08,0.1,0.12,0.13,0.15,0.17,0.18,0.2,0.21,0.23
ACOAD6f_b,0.05,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08
ACOAD7f_b,0.05,0.0,0.0,0.0,0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.08,0.08
ACODA,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
ACONTa,0.05,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.09,0.11,0.13
ACONTb,0.05,0.0,0.0,0.0,0.01,0.01,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.09,0.11,0.13
ACOTA_b,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03
ACPPAT160,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04
ACPPAT161,0.03,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05
ACt2rpp_b,17.89,0.0,0.0,0.0,7.48,9.24,10.99,12.72,14.45,16.16,17.89,19.58,21.26,22.95,24.61,26.24
ACtex_b,17.89,0.0,0.0,0.0,7.48,9.24,10.99,12.72,14.45,16.16,17.89,19.58,21.26,22.95,24.61,26.24
