,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
3OAR140,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07
3OAS140,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07
A5PISO,0.03,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04
AACPS3,0.1,0.0,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.12
AACPS4,0.12,0.0,0.02,0.04,0.05,0.06,0.08,0.09,0.1,0.11,0.12,0.12,0.13,0.13,0.14,0.14
AACPS7,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07
ACACT1r,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACACT2r,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACACT3r,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACACT4r,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACACT5r,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACACT6r,0.22,0.0,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26
ACACT7r,0.22,0.0,0.04,0.07,0.09,0.12,0.14,0.17,0.19,0.21,0.22,0.23,0.24,0.25,0.26,0.26
ACCOAC,0.06,0.0,0.01,0.02,0.03,0.03,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.07
ACGK,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
ACGS,0.23,0.0,0.05,0.07,0.1,0.13,0.15,0.18,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28
ACHBS,0.23,0.0,0.04,0.07,0.1,0.12,0.15,0.18,0.2,0.22,0.23,0.24,0.25,0.26,0.27,0.27
ACKr,0.0,0.0,0.09,0.14,0.2,0.25,0.3,0.35,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACKr_b,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,3.39,5.59,7.8,10.0,11.77,13.32
ACLS,0.68,0.0,0.14,0.21,0.29,0.37,0.45,0.53,0.61,0.65,0.68,0.72,0.75,0.78,0.8,0.83
ACOAD1fr,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
ACOAD2f_b,0.28,0.0,0.06,0.09,0.12,0.15,0.18,0.22,0.25,0.27,0.28,0.29,0.3,0.32,0.33,0.34
