,control,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D,glc__D
3OAR140,0.08,0.0,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.1
3OAS140,0.08,0.0,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.1
A5PISO,0.04,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05
AACPS3,0.13,0.0,0.02,0.04,0.05,0.06,0.07,0.09,0.1,0.11,0.13,0.13,0.14,0.15,0.15,0.16
AACPS4,0.15,0.0,0.03,0.04,0.06,0.07,0.09,0.1,0.12,0.13,0.15,0.16,0.17,0.17,0.18,0.19
AACPS7,0.08,0.0,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.1
ACACT1r,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACACT2r,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACACT3r,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACACT4r,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACACT5r,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACACT6r,0.27,0.0,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.29,0.31,0.32,0.33,0.34
ACACT7r,0.27,0.0,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.29,0.31,0.32,0.33,0.34
ACCOAC,0.08,0.0,0.01,0.02,0.03,0.04,0.05,0.05,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.1
ACGK,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
ACGS,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
ACHBS,0.29,0.0,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.32,0.33,0.35,0.36
ACKr,0.57,0.0,0.11,0.17,0.22,0.28,0.34,0.4,0.46,0.51,0.57,0.0,0.0,0.0,0.0,0.0
ACKr_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,2.33,4.34,6.35,8.43
ACLS,0.86,0.0,0.16,0.25,0.34,0.42,0.51,0.6,0.68,0.77,0.86,0.92,0.96,1.0,1.04,1.08
ACOAD1f_b,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACOAD2f_b,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACOAD3f_b,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACOAD4f_b,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACOAD5f_b,0.35,0.0,0.07,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.35,0.38,0.39,0.41,0.42,0.44
ACOAD6f_b,0.27,0.0,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.27,0.29,0.31,0.32,0.33,0.34
ACOAD7f_b,0.13,0.0,0.02,0.04,0.05,0.06,0.07,0.09,0.1,0.11,0.13,0.13,0.14,0.15,0.15,0.16
ACODA,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
ACONTa,4.86,0.0,1.18,1.64,2.1,2.56,3.02,3.48,3.94,4.4,4.86,4.69,3.78,2.86,1.95,1.32
ACONTb,4.86,0.0,1.18,1.64,2.1,2.56,3.02,3.48,3.94,4.4,4.86,4.69,3.78,2.86,1.95,1.32
ACOTA_b,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
ACt2rpp_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,2.97,5.0,7.04,9.15
ACtex_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,2.97,5.0,7.04,9.15
ADK1,2.58,0.0,0.49,0.75,1.01,1.27,1.53,1.79,2.06,2.32,2.58,2.77,2.89,3.01,3.13,3.23
ADSK,0.24,0.0,0.05,0.07,0.1,0.12,0.14,0.17,0.19,0.22,0.24,0.26,0.27,0.28,0.3,0.31
ADSL1r,0.29,0.0,0.06,0.09,0.12,0.14,0.17,0.2,0.23,0.26,0.29,0.32,0.33,0.34,0.36,0.37
ADSL2r,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
ADSS,0.29,0.0,0.06,0.09,0.12,0.14,0.17,0.2,0.23,0.26,0.29,0.32,0.33,0.34,0.36,0.37
AGPAT160,0.06,0.0,0.01,0.02,0.02,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08
AGPAT161,0.07,0.0,0.01,0.02,0.03,0.04,0.04,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.09
AGPR_b,0.29,0.0,0.06,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.31,0.33,0.34,0.35,0.36
AICART,0.53,0.0,0.1,0.15,0.21,0.26,0.32,0.37,0.43,0.48,0.53,0.57,0.6,0.62,0.65,0.67
AIRC2,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
AIRC3_b,0.44,0.0,0.08,0.13,0.17,0.22,0.26,0.31,0.35,0.4,0.44,0.47,0.49,0.51,0.53,0.55
AKGDH,3.8,0.0,0.98,1.33,1.68,2.04,2.39,2.74,3.09,3.45,3.8,3.55,2.59,1.63,0.67,0.0
ALAALAr,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03
ALAR,0.04,0.0,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05
